county_fips,year,state,county_name,dem_votes,rep_votes,dem_share,rep_share,turnout,population,mean_age,share_age_18_34,share_age_65_plus,share_college,share_no_hs,unemployment_rate,share_labor_force,median_wage,mean_wage,share_white,share_black,share_hispanic,share_poverty
01003,2000,ALABAMA,BALDWIN,13997.0,40872.0,0.25509850735387923,0.7449014926461207,56480,140258.0,38.30654222932025,0.19560381582512226,0.15301800966789772,0.15301087994980678,0.23980093827090077,0.040787774429616876,0.46374538350753614,21450.0,30007.300078106226,0.8853826519699411,0.10432916482482282,0.01348229690998018,0.0958979682203236
01003,2008,ALABAMA,BALDWIN,19386.0,61271.0,0.24035111645610424,0.7596488835438957,81413,171430.0,39.22629061424488,0.21070991075074375,0.16968441929650585,0.1945517120690661,0.21817651519570672,0.043417009752128345,0.48031849734585547,26999.0,35370.45464063929,0.8871726068949426,0.09670419413171556,0.034387213439888,0.09964121386363771
01003,2012,ALABAMA,BALDWIN,18424.0,66016.0,0.21819043107531974,0.7818095689246802,85338,187324.0,40.10897162136192,0.193509641049732,0.17132348230872713,0.1981540005551878,0.22558241335867268,0.09546429493874159,0.475374217932566,29089.0,38685.67815654381,0.8861117635754094,0.0995974888428605,0.04501291879310713,0.13307747765328304
01003,2016,ALABAMA,BALDWIN,18458.0,72883.0,0.2020779277651876,0.7979220722348124,95215,612883.0,41.177898554862836,0.19158142745026374,0.1946276858715285,0.21713442859403834,0.20340587028845636,0.053215448656714334,0.46800776004555517,30000.0,42235.29210345132,0.8581442134958874,0.10373431796933509,0.045104856881329716,0.12508780640907907
01003,2020,ALABAMA,BALDWIN,24578.0,83544.0,0.22731728972826992,0.7726827102717301,109679,218434.0,41.81696988564051,0.18224726919801862,0.20483532783357902,0.2412170266533598,0.1980460917256471,0.03197371268913681,0.4653396449270718,36000.0,49037.56330231066,0.8513280899493668,0.08489063057948854,0.04569343600355256,0.08311010691574852
01003,2024,ALABAMA,BALDWIN,24934.0,95798.0,0.20652353974091375,0.7934764602590862,122249,1000845.0,42.59195879481838,0.1814766522288666,0.22166968911269977,0.2515974001968337,0.1906349134980941,0.029835902536051714,0.4721860028276107,40000.0,55942.64103937679,0.8213989179143624,0.08000839290799275,0.05469678121986921,0.09893963573726473
01015,2000,ALABAMA,CALHOUN,15781.0,22306.0,0.41434085120907393,0.5856591487909261,38909,110594.0,37.39551874423567,0.2388285078756533,0.13877787221729931,0.10578331555057237,0.2559994213067617,0.06089737339859213,0.4637050834584155,19000.0,25291.249076127126,0.8044378537714524,0.18455793261840606,0.019621317612167025,0.149911522462177
01015,2008,ALABAMA,CALHOUN,16334.0,32348.0,0.3355244238116758,0.6644755761883242,49242,112889.0,38.31329004597436,0.2232812762979564,0.1478709174498844,0.10851367272276306,0.23986393714179416,0.10748079706111544,0.47744244346216197,25000.0,30462.14000220216,0.7772325027239146,0.21116317798899803,0.015298213289160149,0.15529105110140992
01015,2012,ALABAMA,CALHOUN,15511.0,30278.0,0.33874948131647337,0.6612505186835266,46257,117848.0,38.387770687665466,0.23084821125517616,0.1472659697237119,0.1131372615572602,0.2549215939175888,0.13654898999433643,0.44947729278392506,23589.0,31505.944994201778,0.7720708030683593,0.21613434254293667,0.03389959948408119,0.21650166164981818
01015,2016,ALABAMA,CALHOUN,13242.0,32865.0,0.28720150953217516,0.7127984904678248,47864,346651.0,39.2264121551647,0.2263890771986811,0.16158614860479273,0.13117804362312527,0.2251688297451904,0.09203759203759204,0.4677961407871317,24000.0,32458.901709693648,0.7455769635743154,0.21163937216393433,0.035251593100842055,0.17688746523403143
01015,2020,ALABAMA,CALHOUN,15216.0,35101.0,0.30240276646063957,0.6975972335393604,50983,114559.0,39.84379228170637,0.225805043689278,0.1755427334386648,0.14184830524009462,0.21630775408304892,0.0795193735655461,0.45259647867037944,28511.0,38514.17473647292,0.7320507336830804,0.21124486072678708,0.038076449689679555,0.1424372353908799
01015,2024,ALABAMA,CALHOUN,13194.0,34912.0,0.27426932191410636,0.7257306780858936,48653,465048.0,39.757212158744906,0.23213947807538146,0.1858560836730832,0.14301749496826133,0.20344351550807657,0.05594635555174287,0.45119213500541877,30000.0,40465.17836959084,0.7041552699936351,0.2105567597323287,0.04583827905936592,0.17726919744856964
01055,2000,ALABAMA,ETOWAH,17433.0,21087.0,0.4525700934579439,0.547429906542056,39348,102183.0,38.59971815272599,0.21577953279899786,0.1615435052797432,0.09395887769981308,0.263840364835638,0.054652361833300425,0.4460526702093303,20000.0,25408.700928978124,0.8499456856815713,0.14148145973400664,0.011567481870761282,0.15443196750686894
